106,106,106,106,106,106,106,106,106,106,106,11,63,11,11,106,106,106,106,106,106,106,106,106,106,106
106,106,106,106,106,106,106,106,106,106,106,11,63,11,11,106,106,106,106,106,106,106,106,106,106,106
106,106,106,106,106,106,106,106,106,106,106,11,63,11,11,106,106,106,106,106,106,106,106,106,106,106
106,106,106,106,106,106,106,106,106,106,106,11,63,11,11,106,106,106,106,106,106,106,106,106,106,106
106,106,106,106,106,106,106,106,106,106,106,11,63,11,11,106,106,106,106,106,106,106,106,106,106,106
106,106,106,106,106,106,106,106,106,106,106,11,63,11,11,106,106,106,106,106,106,106,106,106,106,106
106,106,106,106,106,106,106,106,106,106,106,11,63,11,11,106,106,106,106,106,106,106,106,106,106,106
106,106,106,106,106,106,106,106,106,106,106,11,63,11,11,106,106,106,106,106,106,106,106,106,106,106
106,106,106,106,106,106,106,106,106,106,106,11,63,11,11,106,106,106,106,106,106,106,106,106,106,106
106,106,106,106,106,106,106,106,106,106,106,11,63,11,11,106,106,106,106,106,106,106,106,106,106,106
106,106,106,106,106,106,106,106,106,106,106,11,63,102,104,106,106,106,106,106,106,106,106,106,106,106
106,106,106,106,106,106,106,106,106,106,95,100,101,94,105,106,106,106,106,106,106,106,106,106,106,106
106,106,106,106,106,106,106,106,106,106,97,94,95,96,100,106,106,106,106,106,106,106,106,106,106,106
106,106,106,106,106,106,106,106,106,106,102,104,63,120,121,121,122,11,11,11,11,11,11,11,11,11
106,106,106,106,106,106,106,106,106,106,102,104,63,120,121,121,122,11,11,11,11,11,11,11,11,11
106,106,106,106,106,106,106,106,106,106,11,11,61,51,51,51,51,51,51,51,51,51,51,51,51,51
106,106,106,106,106,106,106,106,106,106,11,11,63,14,21,21,21,21,21,21,21,21,21,21,21,21
106,106,106,106,106,106,106,106,106,106,11,11,63,12,80,80,80,80,80,81,80,80,80,80,80,80
